spots,matches,payout,numsChosen,winNums
5,1,0,"{1: True, 3: True, 4: True, 6: True, 23: True}","{76: True, 22: True, 66: True, 72: True, 74: True, 58: True, 64: True, 37: True, 38: True, 44: True, 43: True, 29: True, 51: True, 73: True, 6: True, 2: True, 39: True, 41: True, 80: True, 32: True}"
5,1,0,"{1: True, 3: True, 4: True, 6: True, 23: True}","{50: True, 25: True, 31: True, 33: True, 11: True, 80: True, 13: True, 64: True, 75: True, 6: True, 19: True, 15: True, 58: True, 7: True, 76: True, 20: True, 41: True, 14: True, 34: True, 37: True}"
5,1,0,"{1: True, 3: True, 4: True, 6: True, 23: True}","{37: True, 47: True, 38: True, 34: True, 58: True, 44: True, 2: True, 39: True, 78: True, 45: True, 36: True, 46: True, 59: True, 11: True, 61: True, 72: True, 73: True, 9: True, 71: True, 4: True}"
5,2,0,"{1: True, 3: True, 4: True, 6: True, 23: True}","{39: True, 77: True, 3: True, 21: True, 29: True, 72: True, 36: True, 31: True, 15: True, 58: True, 9: True, 74: True, 61: True, 41: True, 48: True, 52: True, 66: True, 45: True, 4: True, 13: True}"
5,1,0,"{1: True, 3: True, 4: True, 6: True, 23: True}","{35: True, 67: True, 65: True, 28: True, 74: True, 57: True, 29: True, 60: True, 80: True, 6: True, 27: True, 68: True, 44: True, 45: True, 66: True, 18: True, 31: True, 2: True, 12: True, 41: True}"
5,3,2,"{1: True, 3: True, 4: True, 6: True, 23: True}","{79: True, 26: True, 68: True, 69: True, 77: True, 67: True, 30: True, 4: True, 24: True, 7: True, 64: True, 2: True, 19: True, 34: True, 71: True, 61: True, 80: True, 6: True, 3: True, 18: True}"
5,3,2,"{1: True, 3: True, 4: True, 6: True, 23: True}","{7: True, 33: True, 3: True, 61: True, 54: True, 56: True, 11: True, 25: True, 14: True, 4: True, 2: True, 72: True, 5: True, 53: True, 12: True, 70: True, 60: True, 69: True, 40: True, 23: True}"
5,1,0,"{1: True, 3: True, 4: True, 6: True, 23: True}","{38: True, 47: True, 56: True, 12: True, 40: True, 68: True, 55: True, 27: True, 18: True, 8: True, 51: True, 36: True, 74: True, 42: True, 73: True, 67: True, 32: True, 1: True, 30: True, 61: True}"
5,2,0,"{1: True, 3: True, 4: True, 6: True, 23: True}","{57: True, 66: True, 54: True, 79: True, 16: True, 10: True, 30: True, 47: True, 38: True, 32: True, 63: True, 19: True, 26: True, 52: True, 22: True, 50: True, 3: True, 28: True, 23: True, 5: True}"
5,0,0,"{1: True, 3: True, 4: True, 6: True, 23: True}","{39: True, 66: True, 9: True, 71: True, 27: True, 21: True, 61: True, 17: True, 45: True, 24: True, 57: True, 54: True, 51: True, 14: True, 15: True, 55: True, 48: True, 32: True, 10: True, 59: True}"
5,1,0,"{1: True, 3: True, 4: True, 6: True, 23: True}","{69: True, 60: True, 44: True, 39: True, 2: True, 18: True, 38: True, 42: True, 24: True, 30: True, 47: True, 20: True, 14: True, 13: True, 46: True, 59: True, 6: True, 10: True, 27: True, 51: True}"
5,2,0,"{1: True, 3: True, 4: True, 6: True, 23: True}","{40: True, 16: True, 75: True, 4: True, 32: True, 76: True, 15: True, 66: True, 6: True, 64: True, 69: True, 28: True, 53: True, 78: True, 65: True, 14: True, 27: True, 37: True, 8: True, 25: True}"
5,0,0,"{1: True, 3: True, 4: True, 6: True, 23: True}","{17: True, 55: True, 24: True, 76: True, 9: True, 26: True, 32: True, 12: True, 8: True, 48: True, 53: True, 74: True, 73: True, 62: True, 79: True, 60: True, 68: True, 14: True, 58: True, 65: True}"
5,1,0,"{1: True, 3: True, 4: True, 6: True, 23: True}","{79: True, 6: True, 60: True, 33: True, 67: True, 43: True, 26: True, 14: True, 31: True, 18: True, 2: True, 62: True, 78: True, 20: True, 39: True, 35: True, 53: True, 27: True, 74: True, 73: True}"
5,0,0,"{1: True, 3: True, 4: True, 6: True, 23: True}","{13: True, 57: True, 29: True, 34: True, 5: True, 36: True, 73: True, 50: True, 70: True, 38: True, 63: True, 33: True, 64: True, 35: True, 39: True, 52: True, 47: True, 2: True, 49: True, 46: True}"
