spots,matches,payout,numsChosen,winNums
5,3,10,"{1: True, 2: True, 3: True, 4: True, 5: True}","{9: True, 5: True, 3: True, 15: True, 2: True}"
5,1,0,"{1: True, 2: True, 3: True, 4: True, 5: True}","{9: True, 24: True, 3: True, 12: True, 28: True}"
5,1,0,"{1: True, 2: True, 3: True, 4: True, 5: True}","{27: True, 8: True, 1: True, 31: True, 30: True}"
5,0,0,"{1: True, 2: True, 3: True, 4: True, 5: True}","{25: True, 33: True, 22: True, 8: True, 24: True}"
5,0,0,"{1: True, 2: True, 3: True, 4: True, 5: True}","{18: True, 27: True, 26: True, 20: True, 7: True}"
5,1,0,"{1: True, 2: True, 3: True, 4: True, 5: True}","{31: True, 1: True, 22: True, 19: True, 28: True}"
5,1,0,"{1: True, 2: True, 3: True, 4: True, 5: True}","{11: True, 1: True, 12: True, 28: True, 31: True}"
5,1,0,"{1: True, 2: True, 3: True, 4: True, 5: True}","{1: True, 12: True, 26: True, 11: True, 33: True}"
5,0,0,"{1: True, 2: True, 3: True, 4: True, 5: True}","{8: True, 15: True, 33: True, 7: True, 28: True}"
5,0,0,"{1: True, 2: True, 3: True, 4: True, 5: True}","{29: True, 16: True, 14: True, 23: True, 21: True}"
5,0,0,"{1: True, 2: True, 3: True, 4: True, 5: True}","{27: True, 11: True, 6: True, 29: True, 34: True}"
5,2,0,"{1: True, 2: True, 3: True, 4: True, 5: True}","{1: True, 10: True, 2: True, 13: True, 12: True}"
5,2,0,"{1: True, 2: True, 3: True, 4: True, 5: True}","{4: True, 17: True, 2: True, 31: True, 16: True}"
5,0,0,"{1: True, 2: True, 3: True, 4: True, 5: True}","{9: True, 12: True, 30: True, 24: True, 32: True}"
5,1,0,"{1: True, 2: True, 3: True, 4: True, 5: True}","{6: True, 14: True, 1: True, 18: True, 24: True}"
5,2,0,"{1: True, 2: True, 3: True, 4: True, 5: True}","{13: True, 1: True, 17: True, 7: True, 5: True}"
5,0,0,"{1: True, 2: True, 3: True, 4: True, 5: True}","{25: True, 28: True, 20: True, 26: True, 9: True}"
5,1,0,"{1: True, 2: True, 3: True, 4: True, 5: True}","{19: True, 13: True, 23: True, 2: True, 20: True}"
5,0,0,"{1: True, 2: True, 3: True, 4: True, 5: True}","{32: True, 28: True, 31: True, 13: True, 30: True}"
5,2,0,"{1: True, 2: True, 3: True, 4: True, 5: True}","{15: True, 2: True, 7: True, 6: True, 5: True}"
5,1,0,"{1: True, 2: True, 3: True, 4: True, 5: True}","{26: True, 25: True, 35: True, 28: True, 4: True}"
