userBets,userNums,winNums,payout,matcher
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[4, 4, 8, 8]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[3, 4, 6, 0]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[9, 4, 2, 8]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[0, 1, 4, 4]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[5, 9, 0, 6]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[1, 9, 3, 2]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[2, 4, 1, 2]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[5, 9, 4, 1]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[2, 1, 7, 2]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[7, 4, 3, 3]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[7, 1, 4, 0]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[5, 9, 8, 1]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[0, 4, 4, 1]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[5, 1, 2, 2]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[4, 9, 5, 3]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[2, 4, 1, 9]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[1, 7, 9, 1]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[4, 4, 9, 9]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[3, 1, 5, 2]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[1, 2, 1, 9]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[3, 1, 4, 6]",250,4
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[5, 7, 7, 3]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[4, 0, 8, 8]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[7, 6, 0, 6]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[1, 5, 2, 0]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[0, 3, 6, 2]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[9, 7, 5, 2]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[6, 0, 5, 5]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[8, 8, 3, 9]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[7, 3, 6, 4]",250,6
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[6, 9, 0, 2]",0,0
"{0: False, 1: False, 2: True, 3: True, 4: True, 5: True, 6: True, 7: True, 8: True}","[1, 3, 4, 6]","[0, 0, 6, 4]",0,0
